Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-11073,PROD-1717,03/11/2024,1,491.87,67.37,6,,Cali,Online
TRX-11074,PROD-2927,30/09/2025,3,1740.44,11.43,14,Perdido,MED,Físico
TRX-11075,PROD-3125,14/07/2025,10,1254.54,79.22,16,Retrasado,Cali,WhatsApp
TRX-11076,PROD-3668,10/11/2025,2,12.88,53.69,3,En Camino,Medellín,Físico
TRX-11077,PROD-2811,16/10/2025,11,712.73,67.43,21,Devuelto,Bogotá,Online
TRX-11078,PROD-2139,12/12/2024,5,1717.13,78.34,19,Entregado,Medellín,Online
TRX-11079,PROD-1743,29/10/2025,8,64.37,88.04,7,Entregado,MED,App
TRX-11080,PROD-3397,07/01/2025,5,16.46,,5,En Camino,Barranquilla,Físico
TRX-11081,PROD-2785,11/01/2025,1,569.71,42.26,20,Perdido,BOG,Online
TRX-11082,PROD-3600,26/06/2025,3,1828.86,82.09,26,Retrasado,Medellín,WhatsApp
TRX-11083,PROD-3014,24/04/2025,12,1803.94,29.59,23,En Camino,MED,WhatsApp
TRX-11084,PROD-1373,11/05/2025,5,1042.34,67.73,23,Perdido,Ventas_Web,Online
TRX-11085,PROD-2925,25/07/2025,7,1110.94,14.76,10,,Cali,Online
TRX-11086,PROD-2425,21/01/2025,5,670.7,6.9,9,Perdido,BOG,Online
TRX-11087,PROD-2672,03/02/2025,14,495.04,14.1,3,Devuelto,Medellín,WhatsApp
TRX-11088,PROD-2365,25/07/2025,10,1632.29,35.34,27,Retrasado,Ventas_Web,Online
TRX-11089,PROD-2315,18/04/2025,5,221.53,7.95,27,Retrasado,Bogotá,Físico
TRX-11090,PROD-3744,16/12/2025,7,979.84,64.9,10,Devuelto,Medellín,App
TRX-11091,PROD-1428,28/09/2025,13,1272.45,35.07,16,Perdido,Bogotá,App
TRX-11092,PROD-1658,06/06/2025,8,216.32,,24,Perdido,Ventas_Web,App
TRX-11093,PROD-2350,26/03/2025,14,1044.02,74.96,23,Retrasado,BOG,Físico
TRX-11094,PROD-2686,05/07/2025,8,1159.27,9.36,9,Retrasado,BOG,Online
TRX-11095,PROD-3841,08/12/2025,7,1487.57,25.59,2,Retrasado,Cali,App
TRX-11096,PROD-3029,20/09/2025,13,477.32,43.76,6,Retrasado,Bogotá,WhatsApp
TRX-11097,PROD-2180,21/03/2025,14,593.72,41.35,5,Perdido,Bogotá,Online
TRX-11098,PROD-3713,17/11/2025,3,1143.35,17.44,3,Retrasado,BOG,WhatsApp
TRX-11099,PROD-2640,09/11/2024,11,1966.42,99.44,7,,MED,App
TRX-11100,PROD-3253,18/12/2024,-5,442.81,32.02,15,Perdido,Bogotá,Físico
TRX-11101,PROD-1150,12/10/2025,2,1971.95,73.5,21,Devuelto,BOG,App
TRX-11102,PROD-2862,11/10/2024,1,1431.54,25.9,6,,BOG,App
TRX-11103,PROD-1360,07/11/2024,6,1653.9,88.4,4,Entregado,MED,Online
TRX-11104,PROD-2288,17/12/2025,13,188.39,,23,Devuelto,Bogotá,Online
TRX-11105,PROD-2033,13/10/2025,9,607.84,41.84,29,Devuelto,Barranquilla,App
TRX-11106,PROD-2324,17/11/2024,3,124.9,90.59,13,En Camino,Bucaramanga,Físico
TRX-11107,PROD-1474,09/05/2025,5,749.38,37.47,23,Devuelto,MED,WhatsApp
TRX-11108,PROD-2655,14/02/2025,9,1962.77,5.82,5,En Camino,Ventas_Web,WhatsApp
TRX-11109,PROD-3107,23/12/2024,14,219.49,54.12,15,En Camino,Barranquilla,Físico
TRX-11110,PROD-1004,13/12/2024,14,1129.12,54.85,7,En Camino,Medellín,Online
TRX-11111,PROD-3693,05/05/2025,9,22.08,16.38,7,,Barranquilla,App
TRX-11112,PROD-3222,10/12/2024,7,1428.24,27.32,10,Devuelto,Barranquilla,App
TRX-11113,PROD-2892,19/02/2025,14,402.41,79.43,13,Entregado,Bogotá,App
TRX-11114,PROD-2692,18/09/2025,4,267.87,8.49,24,,Medellín,WhatsApp
TRX-11115,PROD-1222,02/07/2025,11,680.67,51.51,11,En Camino,Medellín,Físico
TRX-11116,PROD-1768,30/07/2025,2,1544.38,,1,Retrasado,Ventas_Web,Físico
TRX-11117,PROD-3123,20/01/2026,2,222.16,55.39,20,Retrasado,Ventas_Web,App
TRX-11118,PROD-2481,01/03/2025,4,467.38,70.43,11,Perdido,Cali,App
TRX-11119,PROD-3550,04/08/2025,1,26.84,8.56,1,Retrasado,Bogotá,Físico
TRX-11120,PROD-3041,22/09/2025,14,1937.15,60.64,3,Retrasado,Barranquilla,WhatsApp
TRX-11121,PROD-3561,02/01/2026,4,1188.37,5.29,8,En Camino,Cali,Online
TRX-11122,PROD-2810,25/02/2025,12,1442.6,30.19,13,,Cali,App
TRX-11123,PROD-1211,25/02/2025,14,1306.25,52.47,28,Devuelto,MED,Físico
TRX-11124,PROD-1833,03/10/2025,11,297.29,91.57,7,,BOG,WhatsApp
TRX-11125,PROD-2093,12/04/2025,6,1193.93,17.03,3,,Ventas_Web,Online
TRX-11126,PROD-3249,03/01/2026,6,271.52,21.08,20,Retrasado,BOG,Físico
TRX-11127,PROD-1536,05/11/2025,7,808.46,68.58,2,Devuelto,BOG,App
TRX-11128,PROD-2179,29/08/2025,5,1142.24,,18,Entregado,Barranquilla,Físico
TRX-11129,PROD-2794,28/12/2025,9,1122.17,40.61,5,,BOG,WhatsApp
TRX-11130,PROD-3860,30/08/2025,2,246.96,64.23,29,,Medellín,App
TRX-11131,PROD-2985,17/01/2025,2,78.53,99.76,18,Retrasado,Bogotá,Físico
TRX-11132,PROD-1497,23/02/2025,4,1598.49,98.75,16,Entregado,Ventas_Web,Físico
TRX-11133,PROD-1118,21/09/2025,4,1454.59,38.6,27,Entregado,Bogotá,App
TRX-11134,PROD-3580,19/08/2025,4,172.82,52.87,7,Perdido,Barranquilla,App
TRX-11135,PROD-3493,19/01/2025,1,263.56,90.95,1,Devuelto,BOG,WhatsApp
TRX-11136,PROD-1980,09/04/2025,4,1786.24,13.76,9,Devuelto,Bogotá,App
TRX-11137,PROD-3907,28/10/2025,12,1540.57,47.97,15,Perdido,Ventas_Web,WhatsApp
TRX-11138,PROD-1648,01/01/2026,5,1992.36,40.87,26,En Camino,Bucaramanga,Físico
TRX-11139,PROD-2272,12/06/2025,9,515.44,33.01,1,Perdido,Ventas_Web,App
TRX-11140,PROD-3256,25/03/2025,3,980.73,,27,,BOG,WhatsApp
TRX-11141,PROD-1056,14/12/2025,3,480.55,99.45,17,Perdido,Cali,Físico
TRX-11142,PROD-3262,17/02/2025,14,1249.37,74.69,9,Perdido,Cali,Online
TRX-11143,PROD-2671,07/03/2025,5,239.67,41.93,23,Entregado,Bucaramanga,Físico
TRX-11144,PROD-1381,06/12/2024,10,263.21,83.76,15,Devuelto,Bogotá,App
TRX-11145,PROD-1920,16/05/2025,6,153.06,51.52,10,En Camino,Medellín,WhatsApp
TRX-11146,PROD-1464,02/08/2025,3,1390.24,87.92,28,Retrasado,MED,Online
TRX-11147,PROD-2890,21/06/2025,1,993.2,30.31,20,Retrasado,Ventas_Web,WhatsApp
TRX-11148,PROD-1481,20/03/2025,10,1239.29,26.24,3,Retrasado,Bucaramanga,WhatsApp
TRX-11149,PROD-3653,02/07/2025,8,1759.81,28.49,28,En Camino,Bucaramanga,Online
TRX-11150,PROD-1630,12/11/2024,12,1483.25,56.16,5,Retrasado,Ventas_Web,Online
TRX-11151,PROD-3041,06/12/2024,1,928.83,32.67,2,En Camino,BOG,WhatsApp
TRX-11152,PROD-3935,13/02/2025,2,1968.87,,22,Retrasado,BOG,App
TRX-11153,PROD-2195,31/08/2025,3,917.95,18.98,6,Retrasado,Ventas_Web,Online
TRX-11154,PROD-3084,29/03/2025,6,233.78,99.49,16,En Camino,Cali,App
TRX-11155,PROD-3889,23/01/2025,4,1985.38,90.54,12,Devuelto,Ventas_Web,Online
TRX-11156,PROD-2119,20/08/2025,4,55.41,65.33,17,,Medellín,WhatsApp
TRX-11157,PROD-2701,31/05/2025,9,1104.27,89.7,12,,Medellín,Online
TRX-11158,PROD-2976,15/07/2025,6,625.1,93.87,26,En Camino,Bogotá,WhatsApp
TRX-11159,PROD-2934,11/08/2025,12,1012.07,69.23,25,En Camino,Medellín,Online
TRX-11160,PROD-1998,30/01/2025,2,1121.84,54.27,17,Perdido,Bogotá,Online
TRX-11161,PROD-2870,01/06/2025,7,487.79,88.79,22,Entregado,BOG,Online
TRX-11162,PROD-3257,15/09/2025,13,1118.15,58.94,7,Entregado,Ventas_Web,Físico
TRX-11163,PROD-1592,28/11/2025,3,1514.56,17.05,24,Devuelto,BOG,Online
TRX-11164,PROD-2571,21/03/2025,9,540.35,,16,Devuelto,Barranquilla,Físico
TRX-11165,PROD-1780,04/11/2025,6,773.02,39.85,18,Devuelto,Ventas_Web,App
TRX-11166,PROD-3455,06/09/2025,8,543.8,47.36,27,Entregado,Bucaramanga,App
TRX-11167,PROD-3081,30/01/2026,13,1642.91,93.86,8,Devuelto,MED,Online
TRX-11168,PROD-1559,10/01/2025,13,1452.71,67.62,27,,MED,App
TRX-11169,PROD-1285,17/01/2026,1,1743.68,88.15,26,Devuelto,BOG,Online
TRX-11170,PROD-2131,03/01/2026,2,348.4,76.97,18,En Camino,Bucaramanga,Físico
TRX-11171,PROD-2699,26/08/2025,6,156.42,34.44,2,,Bogotá,App
TRX-11172,PROD-2392,09/12/2024,3,247.57,73.28,9,,Bogotá,WhatsApp
TRX-11173,PROD-3079,01/01/2026,1,330.43,23.55,23,En Camino,Bogotá,Online
TRX-11174,PROD-2094,24/09/2024,6,1070.83,43.77,24,Entregado,BOG,Online
TRX-11175,PROD-1010,09/08/2025,5,1942.12,81.58,16,En Camino,Bucaramanga,App
TRX-11176,PROD-2158,25/06/2025,13,720.9,,17,Devuelto,Bogotá,App
TRX-11177,PROD-3973,09/07/2025,9,1917.43,63.13,10,En Camino,Bucaramanga,App
TRX-11178,PROD-2222,16/07/2025,6,86.02,83.41,22,,MED,Online
TRX-11179,PROD-3404,10/03/2025,5,1854.48,29.2,1,Perdido,BOG,WhatsApp
TRX-11180,PROD-3375,20/05/2025,1,370.49,76.23,21,En Camino,Bucaramanga,Online
TRX-11181,PROD-3703,25/12/2025,1,1825.83,24.22,18,Entregado,MED,Online
TRX-11182,PROD-3005,10/01/2026,11,121.89,56.8,15,Devuelto,BOG,Físico
TRX-11183,PROD-1608,15/10/2024,1,1896.96,46.19,9,,Cali,Online
TRX-11184,PROD-2829,13/07/2025,7,409.59,57.87,3,,BOG,Online
TRX-11185,PROD-3206,13/03/2025,6,612.4,17.88,16,Devuelto,MED,Online
TRX-11186,PROD-2983,11/08/2025,14,986.98,39.32,26,Entregado,Cali,WhatsApp
TRX-11187,PROD-2413,06/08/2025,5,767.63,68.36,23,En Camino,Barranquilla,App
TRX-11188,PROD-2361,23/10/2025,4,1338.38,,15,Devuelto,BOG,Online
TRX-11189,PROD-3260,05/07/2025,11,1949.87,58.06,2,Devuelto,Barranquilla,Físico
TRX-11190,PROD-3225,14/01/2026,14,1216.79,57.15,10,Perdido,BOG,Físico
TRX-11191,PROD-2545,31/08/2025,13,1445.76,53.53,4,Entregado,BOG,App
TRX-11192,PROD-2865,03/04/2025,13,185.13,94.67,26,,BOG,Físico
TRX-11193,PROD-2318,10/03/2025,11,1259.35,93.78,19,,MED,Físico
TRX-11194,PROD-1772,31/10/2025,8,913.16,39.21,17,En Camino,Medellín,WhatsApp
TRX-11195,PROD-3856,18/01/2025,11,1772.71,38.43,10,En Camino,Bogotá,Online
TRX-11196,PROD-1978,28/09/2024,8,782.54,57.72,22,Devuelto,MED,Online
TRX-11197,PROD-3342,19/08/2025,5,1362.11,14.08,21,Retrasado,MED,Online
TRX-11198,PROD-2568,18/01/2026,4,464.03,33.79,6,Perdido,Bucaramanga,Online
TRX-11199,PROD-1956,01/02/2025,2,526.15,26.93,1,Perdido,Medellín,Online
TRX-11200,PROD-2682,24/12/2024,-5,758.48,,999,Perdido,Cali,Físico
TRX-11201,PROD-1178,31/05/2025,7,615.09,26.22,11,,Bucaramanga,WhatsApp
TRX-11202,PROD-2303,02/10/2024,5,515.22,65.66,16,Devuelto,MED,Online
TRX-11203,PROD-2937,12/11/2024,3,108.84,41.51,24,Entregado,Ventas_Web,Físico
TRX-11204,PROD-3888,06/09/2025,9,1675.13,21.26,20,Entregado,BOG,App
TRX-11205,PROD-2561,13/07/2025,9,137.96,89.32,7,Perdido,Ventas_Web,Físico
TRX-11206,PROD-2581,29/01/2025,11,1775.86,88.04,24,,Ventas_Web,WhatsApp
TRX-11207,PROD-3718,23/01/2026,11,259.68,86.93,3,Retrasado,Ventas_Web,Online
TRX-11208,PROD-3670,19/10/2025,10,139.87,42.12,14,,Medellín,Online
TRX-11209,PROD-1623,29/05/2025,14,1130.38,10.41,4,Retrasado,MED,Online
TRX-11210,PROD-3028,02/01/2025,11,1009.86,15.14,9,En Camino,Cali,WhatsApp
TRX-11211,PROD-1151,25/08/2025,8,987.56,31.22,15,Retrasado,BOG,App
TRX-11212,PROD-1517,14/12/2024,1,1153.26,,12,Perdido,BOG,App
TRX-11213,PROD-3057,01/04/2025,12,581.24,25.9,25,En Camino,Barranquilla,Físico
TRX-11214,PROD-3417,13/11/2025,3,1329.27,88.03,16,Perdido,Bogotá,Físico
TRX-11215,PROD-2359,12/02/2025,2,1009.78,98.7,23,,BOG,Online
TRX-11216,PROD-1411,17/05/2025,4,676.14,82.58,19,,Bogotá,Online
TRX-11217,PROD-2803,06/07/2025,2,1654.74,74.34,14,Entregado,Medellín,Online
TRX-11218,PROD-1408,26/06/2025,12,1458.16,60.92,27,Perdido,Cali,Físico
TRX-11219,PROD-3154,14/10/2025,11,793.28,78.14,4,En Camino,Medellín,Online
TRX-11220,PROD-2871,09/10/2025,8,1696.76,94.97,23,Perdido,Cali,Físico
TRX-11221,PROD-1062,16/12/2025,1,1841.31,62.13,29,Devuelto,Ventas_Web,Físico
TRX-11222,PROD-3959,10/07/2025,4,1078.36,19.69,6,,Cali,WhatsApp
TRX-11223,PROD-1590,10/03/2025,5,437.76,20.57,22,En Camino,BOG,Online
TRX-11224,PROD-2679,09/12/2025,14,1832.43,,11,Retrasado,Bogotá,Online
TRX-11225,PROD-3681,13/02/2025,10,387.06,60.47,4,Entregado,Barranquilla,Físico
TRX-11226,PROD-1632,25/03/2025,4,106.36,36.68,26,Retrasado,Barranquilla,Físico
TRX-11227,PROD-1306,06/11/2024,8,661.7,91.47,8,Perdido,Bucaramanga,Físico
TRX-11228,PROD-2923,23/05/2025,2,1456.66,63.11,9,Retrasado,BOG,WhatsApp
TRX-11229,PROD-2085,03/08/2025,9,1847.32,69.27,26,En Camino,Cali,WhatsApp
TRX-11230,PROD-2386,30/11/2025,2,1278.2,5.55,23,Devuelto,Bogotá,Físico
TRX-11231,PROD-3552,04/01/2026,2,1904.16,52.39,24,Retrasado,Cali,WhatsApp
TRX-11232,PROD-3837,17/06/2025,13,193.82,45.96,26,Perdido,MED,WhatsApp
TRX-11233,PROD-2628,11/01/2026,2,130.9,72.06,2,Retrasado,Ventas_Web,App
TRX-11234,PROD-3661,02/06/2025,12,1212.34,41.35,20,Retrasado,BOG,Online
TRX-11235,PROD-1328,23/10/2025,10,1932.57,97.77,3,En Camino,Bucaramanga,Físico
TRX-11236,PROD-2345,08/07/2025,8,1010.42,,6,Perdido,MED,App
TRX-11237,PROD-3762,22/04/2025,3,112.52,68.67,2,Perdido,Ventas_Web,App
TRX-11238,PROD-3185,23/01/2026,10,450.23,67.69,23,Devuelto,Bogotá,WhatsApp
TRX-11239,PROD-2556,18/03/2025,11,497.14,92.34,8,En Camino,Cali,Físico
TRX-11240,PROD-2297,13/10/2024,14,682.34,99.54,20,,Barranquilla,WhatsApp
TRX-11241,PROD-3567,04/08/2025,10,96.77,23.79,24,En Camino,Barranquilla,App
TRX-11242,PROD-3943,13/11/2024,14,1810.74,82.0,8,Entregado,Bucaramanga,App
TRX-11243,PROD-2998,04/12/2025,8,1035.97,20.42,3,Devuelto,Ventas_Web,App
TRX-11244,PROD-3216,19/11/2025,7,1345.15,48.42,17,Devuelto,BOG,Online
TRX-11245,PROD-1147,13/05/2025,10,143.67,14.52,11,Perdido,MED,Físico
TRX-11246,PROD-3529,29/11/2025,4,117.69,64.22,3,Perdido,Barranquilla,Online
TRX-11247,PROD-1280,23/01/2025,7,1177.07,49.51,26,Devuelto,Cali,App
TRX-11248,PROD-1961,19/09/2025,11,1775.72,,12,En Camino,Bucaramanga,App
TRX-11249,PROD-3585,14/12/2025,8,1061.68,64.73,14,Entregado,MED,App
TRX-11250,PROD-3803,31/12/2024,6,1756.86,69.41,29,Perdido,Medellín,Online
TRX-11251,PROD-2177,24/04/2025,6,1623.87,63.85,1,Entregado,Bucaramanga,WhatsApp
TRX-11252,PROD-1931,06/11/2025,3,160.95,32.93,12,Devuelto,Barranquilla,Físico
TRX-11253,PROD-1370,15/08/2025,5,411.9,84.51,18,En Camino,Bogotá,WhatsApp
TRX-11254,PROD-2777,04/02/2025,10,1318.84,57.41,24,Entregado,Ventas_Web,WhatsApp
TRX-11255,PROD-1403,22/12/2025,2,892.57,51.54,4,,Bucaramanga,App
TRX-11256,PROD-3595,06/08/2025,12,588.49,98.77,29,Retrasado,Cali,Online
TRX-11257,PROD-3883,28/04/2025,5,843.08,31.93,25,Devuelto,MED,WhatsApp
TRX-11258,PROD-1411,19/12/2024,5,895.95,55.16,23,En Camino,Bucaramanga,Online
TRX-11259,PROD-2817,29/06/2025,7,1822.0,69.82,3,Devuelto,Barranquilla,Online
TRX-11260,PROD-1681,01/11/2024,4,215.88,,17,Devuelto,Bucaramanga,Online
TRX-11261,PROD-3842,20/05/2025,14,566.66,16.9,13,Entregado,Ventas_Web,Físico
TRX-11262,PROD-2226,20/08/2025,11,1079.75,38.65,17,Entregado,Cali,WhatsApp
TRX-11263,PROD-1118,27/11/2025,6,1399.59,81.16,17,Retrasado,Cali,App
TRX-11264,PROD-1188,05/02/2025,9,1264.97,27.49,26,Perdido,Barranquilla,App
TRX-11265,PROD-2328,23/03/2025,4,1883.87,51.86,19,Retrasado,BOG,Físico
TRX-11266,PROD-1229,14/06/2025,11,1593.26,64.91,5,,Cali,WhatsApp
TRX-11267,PROD-2201,08/06/2025,14,1118.58,68.76,8,En Camino,Barranquilla,App
TRX-11268,PROD-2468,23/03/2025,6,437.22,74.19,24,En Camino,Ventas_Web,Online
TRX-11269,PROD-2535,13/10/2024,13,907.24,87.27,2,Devuelto,Ventas_Web,App
TRX-11270,PROD-2764,08/09/2025,12,1389.83,42.32,25,Entregado,Bucaramanga,WhatsApp
TRX-11271,PROD-1596,28/11/2025,9,1677.54,72.13,9,Devuelto,Bucaramanga,Online
TRX-11272,PROD-2000,27/11/2025,10,1919.88,,7,Perdido,Medellín,Físico
TRX-11273,PROD-3175,07/01/2026,12,1214.85,74.56,16,Devuelto,Barranquilla,App
TRX-11274,PROD-2687,06/04/2025,1,1058.57,33.53,12,,Bogotá,App
TRX-11275,PROD-3318,22/04/2025,8,45.21,96.98,26,En Camino,Barranquilla,Físico
TRX-11276,PROD-3792,13/12/2025,1,153.48,87.2,21,,Bucaramanga,WhatsApp
TRX-11277,PROD-1737,08/10/2024,4,320.65,32.54,5,En Camino,MED,Online
TRX-11278,PROD-1696,12/04/2025,3,118.97,69.13,24,,Bucaramanga,App
TRX-11279,PROD-1717,20/09/2025,4,807.72,73.19,24,Retrasado,Cali,WhatsApp
TRX-11280,PROD-1323,28/04/2025,14,680.39,45.99,21,,Medellín,Online
TRX-11281,PROD-3496,24/12/2024,7,1278.33,87.06,22,Devuelto,Bogotá,App
TRX-11282,PROD-2566,02/02/2025,13,1075.97,70.57,6,Entregado,BOG,WhatsApp
TRX-11283,PROD-3538,08/02/2025,14,1195.98,67.52,22,Perdido,Medellín,WhatsApp
TRX-11284,PROD-3798,26/02/2025,9,949.23,,21,Perdido,Barranquilla,Físico
TRX-11285,PROD-1986,28/01/2026,9,562.7,25.98,25,,MED,App
TRX-11286,PROD-3038,23/08/2025,10,1906.12,43.75,17,Entregado,Ventas_Web,Online
TRX-11287,PROD-3388,01/12/2024,1,181.95,46.22,15,Perdido,Barranquilla,App
TRX-11288,PROD-1586,23/07/2025,10,1878.39,74.7,10,,Bucaramanga,Físico
TRX-11289,PROD-1951,07/10/2024,1,629.36,63.75,3,,Cali,Online
TRX-11290,PROD-2888,15/05/2025,9,1030.2,13.16,7,Entregado,Bogotá,WhatsApp
TRX-11291,PROD-3612,22/04/2025,4,226.6,34.23,29,Entregado,BOG,Físico
TRX-11292,PROD-2040,09/07/2025,12,151.15,49.94,25,Retrasado,MED,Online
TRX-11293,PROD-2882,21/11/2024,13,864.8,74.99,2,,Cali,Online
TRX-11294,PROD-2045,01/06/2025,14,1485.98,75.64,13,Devuelto,Bogotá,App
TRX-11295,PROD-3731,12/12/2025,3,546.04,51.6,27,En Camino,MED,WhatsApp
TRX-11296,PROD-1038,24/09/2024,13,1129.07,,29,En Camino,Medellín,Físico
TRX-11297,PROD-2905,16/05/2025,9,564.51,16.11,14,,BOG,WhatsApp
TRX-11298,PROD-2178,24/08/2025,5,783.34,32.83,4,Devuelto,Bucaramanga,Físico
TRX-11299,PROD-3775,11/10/2024,12,1813.83,29.2,8,Perdido,Cali,App
TRX-11300,PROD-3238,17/01/2026,-5,1713.12,79.2,5,Entregado,Barranquilla,Online
TRX-11301,PROD-1647,10/11/2024,6,1036.87,22.1,12,En Camino,BOG,App
TRX-11302,PROD-1302,09/12/2024,1,483.83,49.17,27,Retrasado,Bucaramanga,Físico
TRX-11303,PROD-2809,07/01/2026,1,394.44,68.72,24,Perdido,Bogotá,WhatsApp
TRX-11304,PROD-2415,20/10/2024,13,1908.63,96.65,12,Retrasado,BOG,Online
TRX-11305,PROD-3406,09/11/2024,14,413.41,99.93,11,En Camino,MED,Físico
TRX-11306,PROD-2225,27/12/2024,7,1618.25,95.53,2,Devuelto,BOG,Online
TRX-11307,PROD-3617,06/03/2025,10,744.25,73.23,28,Devuelto,Bucaramanga,Online
TRX-11308,PROD-2737,24/12/2025,8,1971.46,,24,Retrasado,Barranquilla,App
TRX-11309,PROD-3827,29/11/2025,11,742.63,75.91,22,,Barranquilla,Físico
TRX-11310,PROD-2024,22/09/2025,8,709.52,77.12,5,Perdido,Ventas_Web,WhatsApp
TRX-11311,PROD-2871,17/03/2025,14,1278.55,86.95,13,En Camino,Bogotá,App
TRX-11312,PROD-2237,04/12/2024,13,1923.42,95.42,18,Entregado,Bucaramanga,App
TRX-11313,PROD-1815,07/01/2026,7,1952.66,47.34,23,Devuelto,Cali,App
TRX-11314,PROD-2575,13/09/2025,13,1417.34,44.57,17,Retrasado,Bucaramanga,Físico
TRX-11315,PROD-2979,21/10/2024,11,1511.67,48.74,6,En Camino,BOG,Físico
TRX-11316,PROD-1436,10/12/2025,9,1131.17,67.68,19,Perdido,Barranquilla,Online
TRX-11317,PROD-1971,26/02/2025,1,1513.99,78.67,22,,MED,Online
TRX-11318,PROD-2562,02/08/2025,2,1720.96,87.7,17,Entregado,Ventas_Web,Online
TRX-11319,PROD-3342,23/07/2025,13,977.33,48.34,17,Entregado,Bogotá,Online
TRX-11320,PROD-2470,28/06/2025,3,1243.53,,18,,Medellín,App
TRX-11321,PROD-3354,02/07/2025,13,1079.26,39.52,26,Devuelto,Medellín,WhatsApp
TRX-11322,PROD-2211,14/01/2026,12,1129.32,98.42,15,Entregado,MED,Online
TRX-11323,PROD-3864,26/01/2026,13,1781.2,27.03,23,En Camino,Bucaramanga,Físico
TRX-11324,PROD-2209,29/09/2024,5,717.68,26.09,28,Devuelto,Barranquilla,Online
TRX-11325,PROD-1089,24/07/2025,4,424.29,72.96,28,Devuelto,Bucaramanga,Físico
TRX-11326,PROD-3696,23/03/2025,4,918.0,22.07,20,Devuelto,Bogotá,WhatsApp
TRX-11327,PROD-2621,09/01/2025,8,424.09,42.94,4,,Cali,App
TRX-11328,PROD-2124,12/08/2025,8,1001.82,32.78,4,En Camino,Medellín,WhatsApp
TRX-11329,PROD-1033,16/04/2025,11,1807.98,21.03,5,Retrasado,Bucaramanga,WhatsApp
TRX-11330,PROD-3318,14/05/2025,7,1238.69,60.07,15,Entregado,Barranquilla,App
TRX-11331,PROD-3809,22/11/2025,1,1712.31,40.48,2,Entregado,MED,Físico
TRX-11332,PROD-1200,24/12/2025,10,340.72,,11,Retrasado,Ventas_Web,WhatsApp
TRX-11333,PROD-3483,28/03/2025,4,1802.74,48.91,23,Devuelto,BOG,App
TRX-11334,PROD-3034,24/11/2025,1,1207.56,23.61,3,Perdido,BOG,Físico
TRX-11335,PROD-2172,17/01/2026,11,73.2,77.95,11,En Camino,Medellín,Físico
TRX-11336,PROD-1942,06/11/2025,14,1269.91,34.9,3,Devuelto,Medellín,Físico
TRX-11337,PROD-3486,03/11/2025,5,1903.28,37.56,11,Devuelto,Cali,App
TRX-11338,PROD-2443,17/08/2025,3,167.54,28.95,29,Devuelto,Bucaramanga,Online
TRX-11339,PROD-1897,14/09/2025,3,1169.09,46.27,2,Entregado,Cali,App
TRX-11340,PROD-3607,30/09/2024,4,1831.8,49.04,22,,Barranquilla,WhatsApp
TRX-11341,PROD-1778,14/11/2024,2,29.29,55.32,20,,Barranquilla,App
TRX-11342,PROD-3543,25/10/2025,7,1265.52,96.92,20,,Ventas_Web,App
TRX-11343,PROD-2026,09/04/2025,12,955.06,90.95,15,Entregado,Ventas_Web,WhatsApp
TRX-11344,PROD-3776,18/10/2025,13,700.51,,8,,Bucaramanga,App
TRX-11345,PROD-3952,06/02/2025,4,1258.8,62.89,28,Perdido,Medellín,App
TRX-11346,PROD-3700,08/06/2025,5,114.88,8.7,2,En Camino,Bogotá,WhatsApp
TRX-11347,PROD-3788,22/08/2025,12,1508.6,63.16,23,Devuelto,Cali,Online
TRX-11348,PROD-1560,28/10/2025,14,18.91,13.52,18,,BOG,Online
TRX-11349,PROD-3573,02/02/2026,2,620.8,72.48,22,Entregado,Medellín,Físico
TRX-11350,PROD-1397,13/03/2025,6,1012.88,42.06,29,Retrasado,MED,Online
TRX-11351,PROD-3570,17/12/2024,9,760.27,84.58,21,Entregado,Barranquilla,App
TRX-11352,PROD-3647,07/11/2024,8,621.88,94.54,8,Devuelto,BOG,WhatsApp
TRX-11353,PROD-1161,03/09/2025,8,1663.36,44.63,22,Devuelto,Barranquilla,Físico
TRX-11354,PROD-2265,27/03/2025,2,1870.32,48.75,12,Entregado,Medellín,App
TRX-11355,PROD-2805,25/02/2025,4,1748.69,61.06,23,Retrasado,Medellín,Físico
TRX-11356,PROD-1136,28/01/2026,8,1049.64,,6,Retrasado,MED,WhatsApp
TRX-11357,PROD-3373,25/10/2025,11,1769.49,23.73,24,Devuelto,Barranquilla,App
TRX-11358,PROD-2494,01/10/2024,1,1842.51,93.1,2,Entregado,Cali,Físico
TRX-11359,PROD-3999,15/01/2025,8,824.38,46.13,12,En Camino,Cali,Físico
TRX-11360,PROD-1538,23/02/2025,3,574.06,20.85,23,En Camino,Medellín,Online
TRX-11361,PROD-1369,30/01/2025,8,205.55,77.46,21,Devuelto,Bucaramanga,Físico
TRX-11362,PROD-2208,19/08/2025,6,963.39,25.82,12,Retrasado,Barranquilla,Online
TRX-11363,PROD-2338,12/12/2024,7,1893.13,18.64,13,En Camino,Bogotá,Online
TRX-11364,PROD-2701,11/10/2025,2,1126.21,58.47,9,Entregado,Barranquilla,WhatsApp
TRX-11365,PROD-1719,09/07/2025,1,1338.45,68.79,15,Perdido,Ventas_Web,Online
