Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS
FB-9112,TRX-18020,4,2,Dañado,NO,0,57,-10.9
FB-9113,TRX-15043,5,5,No volvería,SI,Sí,19,53.5
FB-9114,TRX-19638,3,1,No volvería,Maybe,1,70,-61.5
FB-9115,TRX-11167,4,4,Lento,SI,1,72,-54.8
FB-9116,TRX-16697,4,3,---,Maybe,No,41,-68.4
FB-9117,TRX-10636,1,3,No volvería,Maybe,1,45,46.5
FB-9118,TRX-12039,2,3,Excelente,SI,1,23,-54.5
FB-9119,TRX-16304,5,4,Excelente,SI,No,57,-16.1
FB-9120,TRX-19266,2,3,Precio justo,Maybe,No,84,-48.1
FB-9121,TRX-12660,3,5,Lento,N/A,1,83,96.5
FB-9122,TRX-13182,5,3,Precio justo,NO,Sí,27,29.6
FB-9123,TRX-17148,3,3,Excelente,Maybe,Sí,20,-42.9
FB-9124,TRX-14182,2,1,Dañado,SI,No,28,-76.8
FB-9125,TRX-15711,1,3,Lento,N/A,1,42,-12.3
FB-9126,TRX-18349,4,3,---,Maybe,1,83,-63.8
FB-9127,TRX-18005,2,2,N/A,Maybe,Sí,26,-66.6
FB-9128,TRX-16032,5,5,Precio justo,N/A,No,78,-41.0
FB-9129,TRX-10945,4,4,Precio justo,NO,1,76,93.3
FB-9130,TRX-16313,5,1,Excelente,NO,1,18,-20.0
FB-9131,TRX-16947,3,4,Precio justo,NO,0,40,-57.9
FB-9132,TRX-14043,5,3,---,SI,0,18,-34.3
FB-9133,TRX-13970,1,2,Excelente,NO,No,28,-4.5
FB-9134,TRX-17827,3,3,Dañado,N/A,0,46,-85.6
FB-9135,TRX-10565,2,3,Precio justo,N/A,0,24,-39.0
FB-9136,TRX-15921,4,1,Excelente,Maybe,1,55,-71.4
FB-9137,TRX-10462,4,1,Excelente,NO,1,21,-81.9
FB-9138,TRX-12422,1,4,Dañado,SI,No,27,81.8
FB-9139,TRX-14281,5,3,Precio justo,N/A,No,71,-43.2
FB-9140,TRX-19919,2,4,N/A,SI,No,47,-58.2
FB-9141,TRX-17462,5,3,---,N/A,1,27,40.1
FB-9142,TRX-12414,5,1,N/A,N/A,1,71,-88.5
FB-9143,TRX-14166,1,2,Dañado,N/A,0,58,94.6
FB-9144,TRX-14053,3,4,Dañado,SI,Sí,24,97.0
FB-9145,TRX-19865,3,4,Dañado,N/A,1,73,53.0
FB-9146,TRX-19475,1,5,N/A,N/A,No,37,97.4
FB-9147,TRX-12644,1,5,Precio justo,N/A,No,23,-48.8
FB-9148,TRX-10202,1,2,No volvería,SI,1,33,-49.1
FB-9149,TRX-11912,5,5,N/A,N/A,Sí,33,73.8
FB-9150,TRX-11512,5,2,Excelente,N/A,Sí,40,21.5
FB-9151,TRX-16297,2,3,Excelente,NO,No,20,44.6
FB-9152,TRX-16515,1,5,Dañado,N/A,No,45,-97.2
FB-9153,TRX-19603,5,5,Dañado,Maybe,No,36,-7.2
FB-9154,TRX-11316,3,4,No volvería,Maybe,Sí,75,-44.3
FB-9155,TRX-18495,1,2,Lento,N/A,No,78,-69.2
FB-9156,TRX-13093,3,4,---,N/A,No,57,3.8
FB-9157,TRX-16929,4,5,Excelente,Maybe,0,20,-44.6
FB-9158,TRX-12716,2,3,---,Maybe,1,50,8.7
FB-9159,TRX-16993,4,1,Lento,SI,No,25,-84.4
FB-9160,TRX-14143,2,2,Dañado,Maybe,0,56,59.5
FB-9161,TRX-14951,1,2,Excelente,SI,0,59,89.9
FB-9162,TRX-18202,2,3,Excelente,Maybe,Sí,45,25.9
FB-9163,TRX-18735,5,3,Dañado,N/A,Sí,46,-71.4
FB-9164,TRX-16271,3,2,Lento,N/A,0,37,49.8
FB-9165,TRX-19602,5,2,Lento,Maybe,No,69,75.7
FB-9166,TRX-15045,1,3,Precio justo,Maybe,No,53,-26.7
FB-9167,TRX-16743,4,3,Precio justo,Maybe,Sí,38,2.8
FB-9168,TRX-11456,3,3,No volvería,Maybe,Sí,54,-87.3
FB-9169,TRX-11790,1,5,---,N/A,Sí,35,9.5
FB-9170,TRX-19381,5,2,No volvería,SI,0,35,-90.5
FB-9171,TRX-15642,5,2,Lento,NO,0,73,-29.6
FB-9172,TRX-12338,2,3,Dañado,NO,1,83,-44.3
FB-9173,TRX-14407,2,4,Lento,SI,No,19,-63.4
FB-9174,TRX-13432,4,1,Excelente,Maybe,Sí,38,70.6
FB-9175,TRX-16520,2,2,Precio justo,SI,0,33,20.7
FB-9176,TRX-15047,2,5,Precio justo,N/A,Sí,53,35.6
FB-9177,TRX-10105,2,1,---,SI,1,51,-1.5
FB-9178,TRX-12759,4,4,N/A,NO,No,37,49.5
FB-9179,TRX-18056,1,5,---,SI,No,40,-26.0
FB-9180,TRX-10025,3,3,---,Maybe,1,50,-11.7
FB-9181,TRX-11587,1,4,Lento,SI,No,24,-83.4
FB-9182,TRX-11144,1,3,Excelente,NO,No,68,-36.1
FB-9183,TRX-16845,1,5,Lento,Maybe,1,62,-78.9
FB-9184,TRX-18600,5,5,N/A,N/A,1,65,-3.7
FB-9185,TRX-16829,3,3,---,NO,1,81,87.7
FB-9186,TRX-14724,3,1,---,Maybe,Sí,31,62.2
FB-9187,TRX-17060,5,2,Lento,Maybe,No,67,-12.6
FB-9188,TRX-12795,5,2,Lento,N/A,1,26,-39.9
FB-9189,TRX-12890,2,5,Excelente,NO,0,61,-34.1
FB-9190,TRX-16138,5,4,Precio justo,NO,Sí,38,-5.5
FB-9191,TRX-13053,4,3,Dañado,SI,Sí,81,-51.4
FB-9192,TRX-12200,5,4,N/A,SI,No,73,-32.4
FB-9193,TRX-13244,2,3,No volvería,Maybe,No,28,-1.5
FB-9194,TRX-17970,5,4,---,Maybe,1,74,68.2
FB-9195,TRX-12981,4,3,Excelente,Maybe,1,55,-80.9
FB-9196,TRX-18234,5,5,Precio justo,Maybe,Sí,45,-19.0
FB-9197,TRX-11806,1,1,Lento,N/A,0,24,-61.9
FB-9198,TRX-17383,3,2,Dañado,SI,Sí,51,27.4
FB-9199,TRX-19291,4,4,No volvería,N/A,1,19,14.1
FB-9200,TRX-13482,99,2,N/A,N/A,1,195,15.5
FB-9201,TRX-13041,4,4,No volvería,SI,No,61,6.6
FB-9202,TRX-13292,4,5,Excelente,NO,0,83,46.7
FB-9203,TRX-10966,1,5,Lento,SI,0,39,-69.2
FB-9204,TRX-12993,1,4,---,N/A,No,75,-62.8
FB-9205,TRX-13143,3,4,Lento,Maybe,0,18,41.8
FB-9206,TRX-14249,2,4,Dañado,SI,1,54,-73.6
FB-9207,TRX-16697,3,5,No volvería,N/A,0,74,45.4
FB-9208,TRX-17220,4,1,Excelente,N/A,0,28,-67.1
FB-9209,TRX-11789,4,1,Lento,Maybe,1,78,98.3
FB-9210,TRX-12721,4,4,No volvería,NO,No,31,-91.0
FB-9211,TRX-11307,3,3,No volvería,N/A,Sí,24,55.3
FB-9212,TRX-14802,2,1,Precio justo,N/A,No,58,-53.6
FB-9213,TRX-11404,2,5,Dañado,NO,0,32,-35.3
FB-9214,TRX-16188,3,5,Lento,N/A,0,79,82.4
FB-9215,TRX-12042,4,5,Precio justo,SI,1,75,-38.7
FB-9216,TRX-14534,3,2,Dañado,SI,1,64,-24.6
FB-9217,TRX-11052,3,2,Precio justo,N/A,0,53,-63.6
FB-9218,TRX-15605,5,5,Lento,N/A,1,21,-84.6
FB-9219,TRX-10486,5,1,Excelente,NO,0,75,-78.4
FB-9220,TRX-19595,1,2,Precio justo,Maybe,1,77,18.7
FB-9221,TRX-13846,1,3,Precio justo,SI,Sí,46,-90.6
FB-9222,TRX-17829,3,4,No volvería,NO,No,82,-54.9
FB-9223,TRX-17949,5,2,N/A,Maybe,1,44,-21.3
FB-9224,TRX-11651,4,2,Lento,SI,No,24,-78.3
FB-9225,TRX-10155,1,1,Precio justo,SI,No,82,49.7
FB-9226,TRX-11000,4,1,N/A,N/A,Sí,58,94.3
FB-9227,TRX-14359,4,3,Excelente,Maybe,1,59,79.0
FB-9228,TRX-10118,1,3,Precio justo,N/A,1,52,90.7
FB-9229,TRX-19542,3,3,Dañado,NO,1,51,9.0
FB-9230,TRX-10685,5,3,Excelente,Maybe,No,26,-70.4
FB-9231,TRX-11586,1,2,Excelente,Maybe,No,66,33.4
FB-9232,TRX-13458,2,3,Precio justo,N/A,No,39,-88.1
FB-9233,TRX-18557,2,3,Precio justo,SI,No,54,-4.8
FB-9234,TRX-10118,4,5,No volvería,SI,Sí,77,57.9
FB-9235,TRX-16154,2,2,Lento,N/A,Sí,29,71.0
FB-9236,TRX-19879,4,2,No volvería,NO,0,53,-40.9
FB-9237,TRX-18520,5,2,Dañado,N/A,1,59,-55.6
FB-9238,TRX-14355,1,4,Lento,Maybe,No,19,37.9
FB-9239,TRX-17961,1,3,No volvería,SI,0,48,-72.2
FB-9240,TRX-17753,5,3,No volvería,NO,Sí,37,98.8
FB-9241,TRX-15521,4,3,Precio justo,Maybe,0,55,-33.6
FB-9242,TRX-19902,3,1,No volvería,N/A,0,22,49.9
FB-9243,TRX-17036,2,1,Precio justo,SI,No,33,45.1
FB-9244,TRX-15514,5,1,Excelente,NO,1,77,-38.0
FB-9245,TRX-16074,2,4,Lento,SI,1,20,-22.8
FB-9246,TRX-15620,3,3,Precio justo,NO,Sí,50,68.3
FB-9247,TRX-15164,4,2,N/A,N/A,0,35,-54.4
FB-9248,TRX-13925,2,2,N/A,NO,Sí,21,-88.0
FB-9249,TRX-15918,4,5,N/A,Maybe,No,61,-70.5
FB-9250,TRX-16528,3,1,N/A,SI,1,52,36.8
FB-9251,TRX-16200,4,4,No volvería,NO,Sí,51,-52.5
FB-9252,TRX-10937,3,5,N/A,Maybe,1,54,13.4
FB-9253,TRX-15833,1,4,Precio justo,SI,No,33,-21.3
FB-9254,TRX-15410,2,2,Excelente,N/A,Sí,77,73.6
FB-9255,TRX-11641,2,3,Dañado,Maybe,1,40,-2.5
FB-9256,TRX-10050,3,2,Dañado,Maybe,1,28,-72.1
FB-9257,TRX-17486,3,2,Excelente,SI,Sí,51,66.6
FB-9258,TRX-16583,5,1,No volvería,N/A,Sí,75,-83.5
FB-9259,TRX-12275,3,2,Lento,NO,1,65,65.6
FB-9260,TRX-10420,3,4,Lento,Maybe,Sí,23,-91.7
FB-9261,TRX-19861,4,3,Precio justo,SI,No,20,-99.3
FB-9262,TRX-12013,4,1,---,SI,0,75,51.1
FB-9263,TRX-18693,2,5,Dañado,SI,No,40,12.0
FB-9264,TRX-14578,4,2,Excelente,NO,No,74,-57.0
FB-9265,TRX-14072,4,1,---,SI,No,18,93.2
FB-9266,TRX-16036,2,1,No volvería,NO,0,20,27.4
FB-9267,TRX-17404,1,1,Excelente,N/A,0,40,-52.3
FB-9268,TRX-17785,5,4,Dañado,NO,Sí,18,-16.8
FB-9269,TRX-18436,4,5,Excelente,SI,1,22,82.6
FB-9270,TRX-16768,1,1,Excelente,SI,Sí,45,-59.3
FB-9271,TRX-13079,5,4,Excelente,Maybe,0,61,85.4
FB-9272,TRX-10051,2,5,Precio justo,NO,No,30,-56.6
FB-9273,TRX-15278,4,3,No volvería,Maybe,No,42,-95.3
FB-9274,TRX-10272,4,4,Lento,NO,No,46,-46.3
FB-9275,TRX-15901,3,1,---,SI,Sí,18,-89.1
FB-9276,TRX-10749,4,2,---,Maybe,1,83,-53.4
FB-9277,TRX-15333,4,4,No volvería,Maybe,No,51,-45.6
FB-9278,TRX-17279,1,3,Dañado,N/A,0,76,-16.7
FB-9279,TRX-13826,1,5,---,N/A,Sí,82,-43.5
FB-9280,TRX-19941,4,3,Lento,SI,1,39,42.3
FB-9281,TRX-17938,5,5,N/A,SI,1,70,94.2
FB-9282,TRX-16556,2,4,Precio justo,Maybe,Sí,48,-90.5
FB-9283,TRX-11333,1,5,Lento,N/A,Sí,83,2.6
FB-9284,TRX-15707,5,1,Lento,SI,1,20,-47.7
FB-9285,TRX-17010,4,4,Lento,SI,No,63,-7.5
FB-9286,TRX-17800,3,2,Excelente,N/A,1,61,40.9
FB-9287,TRX-11645,1,3,Dañado,N/A,0,58,75.4
FB-9288,TRX-16305,1,3,N/A,NO,1,30,77.3
FB-9289,TRX-14814,3,4,Precio justo,SI,Sí,27,-67.4
FB-9290,TRX-19947,4,2,N/A,N/A,0,79,12.5
FB-9291,TRX-13196,1,4,Dañado,NO,Sí,23,-43.4
FB-9292,TRX-12345,4,1,Excelente,N/A,No,67,-0.4
FB-9293,TRX-18520,5,1,Precio justo,NO,No,56,84.0
FB-9294,TRX-19369,1,2,---,SI,0,60,-87.9
FB-9295,TRX-18267,4,4,N/A,N/A,Sí,59,18.8
FB-9296,TRX-10520,5,2,Excelente,N/A,0,57,-28.1
FB-9297,TRX-12094,1,2,Precio justo,SI,0,22,73.6
FB-9298,TRX-18158,2,1,Precio justo,Maybe,No,84,-56.3
FB-9299,TRX-11426,4,1,No volvería,NO,Sí,78,-33.4
FB-9300,TRX-14937,5,2,Excelente,NO,1,32,-95.9
FB-9301,TRX-18990,2,2,Dañado,N/A,No,27,-14.0
FB-9302,TRX-17648,4,5,---,SI,0,18,26.6
FB-9303,TRX-12753,1,1,---,SI,Sí,80,-60.8
FB-9304,TRX-17311,4,2,N/A,Maybe,0,33,27.1
FB-9305,TRX-11895,5,5,Excelente,SI,0,45,48.9
FB-9306,TRX-17899,1,2,N/A,SI,0,54,-61.5
FB-9307,TRX-18858,1,5,Excelente,Maybe,Sí,71,51.1
FB-9308,TRX-13946,1,2,Excelente,NO,No,28,86.6
FB-9309,TRX-13987,3,4,No volvería,SI,1,54,-55.5
FB-9310,TRX-13467,5,1,No volvería,SI,0,55,-73.0
FB-9311,TRX-12792,2,2,No volvería,NO,1,51,-33.3
FB-9312,TRX-11465,1,3,No volvería,NO,No,39,-61.9
FB-9313,TRX-11728,5,3,Excelente,Maybe,0,72,55.0
FB-9314,TRX-17125,3,5,---,NO,Sí,21,-73.4
FB-9315,TRX-10478,3,1,Dañado,SI,0,61,-95.5
FB-9316,TRX-12625,1,5,Lento,NO,0,22,-29.6
FB-9317,TRX-15349,5,1,Excelente,N/A,0,73,56.9
FB-9318,TRX-16283,3,3,N/A,Maybe,0,36,30.3
FB-9319,TRX-14593,1,3,Dañado,SI,No,32,6.1
FB-9320,TRX-13610,4,5,Lento,Maybe,No,68,-8.4
FB-9321,TRX-14220,4,4,Lento,Maybe,Sí,42,29.9
FB-9322,TRX-17803,4,3,No volvería,Maybe,0,70,-1.6
FB-9323,TRX-12016,2,1,Lento,Maybe,Sí,84,55.0
FB-9324,TRX-12224,5,2,N/A,Maybe,0,61,73.3
FB-9325,TRX-18757,4,2,N/A,NO,Sí,55,-65.3
FB-9326,TRX-18060,3,2,Dañado,Maybe,0,78,-53.6
FB-9327,TRX-11481,2,3,No volvería,Maybe,No,63,2.7
FB-9328,TRX-15452,4,4,Excelente,Maybe,0,77,73.2
FB-9329,TRX-13666,1,3,Excelente,N/A,0,49,83.7
FB-9330,TRX-19436,3,1,No volvería,SI,No,40,-74.8
FB-9331,TRX-19841,2,3,---,Maybe,Sí,36,-39.4
FB-9332,TRX-11059,2,3,No volvería,N/A,1,44,53.9
FB-9333,TRX-15623,3,3,Lento,SI,No,51,86.7
FB-9334,TRX-16176,4,3,---,NO,Sí,83,-83.8
FB-9335,TRX-16252,1,1,Lento,Maybe,0,70,-6.1
FB-9336,TRX-19206,1,3,Dañado,Maybe,1,26,-0.9
FB-9337,TRX-17159,1,4,No volvería,N/A,Sí,48,-98.3
FB-9338,TRX-13823,2,5,Excelente,Maybe,Sí,73,70.9
FB-9339,TRX-13662,4,1,Dañado,NO,0,53,-78.5
FB-9340,TRX-14244,3,4,Excelente,SI,0,42,67.5
FB-9341,TRX-11895,5,2,---,N/A,Sí,18,-95.8
FB-9342,TRX-14767,1,2,Excelente,N/A,0,22,96.6
FB-9343,TRX-11436,3,1,Dañado,Maybe,1,68,5.0
FB-9344,TRX-11824,3,5,Excelente,NO,0,50,-40.2
FB-9345,TRX-11460,1,3,No volvería,NO,1,70,21.3
FB-9346,TRX-15574,5,1,---,Maybe,1,78,-43.2
FB-9347,TRX-19702,2,3,N/A,SI,0,52,-78.5
FB-9348,TRX-13082,2,3,No volvería,SI,Sí,52,-49.6
FB-9349,TRX-11902,4,2,Dañado,N/A,1,44,68.2
FB-9350,TRX-19385,99,5,Excelente,NO,0,28,-50.6
FB-9351,TRX-16025,2,3,Excelente,NO,No,45,-17.8
FB-9352,TRX-12087,3,1,Lento,SI,1,27,9.9
FB-9353,TRX-15134,2,2,Precio justo,SI,Sí,52,74.0
FB-9354,TRX-16229,4,3,Dañado,N/A,Sí,35,-97.8
FB-9355,TRX-19452,3,2,N/A,N/A,Sí,22,76.4
FB-9356,TRX-10027,3,2,Excelente,NO,No,23,48.2
FB-9357,TRX-15092,5,1,Dañado,N/A,1,47,-22.6
FB-9358,TRX-11013,1,1,Lento,N/A,No,82,98.4
FB-9359,TRX-19667,1,4,Dañado,SI,No,79,-88.2
FB-9360,TRX-18775,1,3,No volvería,Maybe,No,65,47.6
FB-9361,TRX-13110,4,2,Excelente,SI,No,41,44.0
FB-9362,TRX-16359,2,4,Lento,SI,1,60,89.4
FB-9363,TRX-16941,1,1,No volvería,SI,1,35,64.9
FB-9364,TRX-15237,2,5,Precio justo,Maybe,Sí,50,15.1
FB-9365,TRX-15980,1,2,Precio justo,Maybe,No,26,-53.5
FB-9366,TRX-12069,5,5,Dañado,Maybe,No,69,2.0
FB-9367,TRX-18515,2,5,Excelente,NO,0,28,-79.5
FB-9368,TRX-19856,4,2,Precio justo,Maybe,1,19,-2.3
FB-9369,TRX-19679,4,4,Lento,SI,0,44,-61.2
FB-9370,TRX-13639,2,4,Excelente,SI,1,35,86.9
FB-9371,TRX-11746,4,2,N/A,NO,No,51,-18.7
FB-9372,TRX-16476,3,3,Lento,N/A,0,71,-70.1
FB-9373,TRX-10150,4,5,Lento,NO,1,28,-95.3
FB-9374,TRX-18819,5,4,Lento,SI,0,83,-33.9
FB-9375,TRX-17546,5,2,---,SI,0,48,-88.4
FB-9376,TRX-15176,2,1,N/A,Maybe,Sí,61,-8.1
FB-9377,TRX-12370,4,1,Precio justo,NO,Sí,73,-90.6
FB-9378,TRX-14863,2,2,Dañado,Maybe,No,36,66.7
FB-9379,TRX-13586,1,3,Precio justo,N/A,No,49,-6.9
FB-9380,TRX-18189,3,1,Precio justo,Maybe,No,53,58.6
FB-9381,TRX-17467,2,3,---,Maybe,1,31,-27.2
FB-9382,TRX-12415,2,2,Dañado,Maybe,No,62,53.6
FB-9383,TRX-19854,2,2,No volvería,N/A,0,18,-18.9
FB-9384,TRX-14643,2,5,Lento,Maybe,Sí,69,34.3
FB-9385,TRX-12389,5,2,N/A,SI,0,50,42.6
FB-9386,TRX-10562,3,3,No volvería,N/A,0,51,20.5
FB-9387,TRX-19812,1,4,Lento,Maybe,Sí,33,-89.0
FB-9388,TRX-15245,3,1,No volvería,NO,Sí,19,-26.6
FB-9389,TRX-15060,2,1,Lento,NO,No,79,55.3
FB-9390,TRX-18230,5,5,Dañado,Maybe,1,36,84.9
FB-9391,TRX-12022,1,4,---,NO,No,32,32.1
FB-9392,TRX-14480,2,3,Dañado,NO,No,33,93.5
FB-9393,TRX-19403,2,3,N/A,N/A,1,45,-45.1
FB-9394,TRX-17836,4,5,Dañado,N/A,0,23,-72.7
FB-9395,TRX-13534,3,2,Excelente,SI,No,44,-34.4
FB-9396,TRX-18110,3,4,N/A,N/A,Sí,56,35.6
FB-9397,TRX-14775,3,1,N/A,SI,No,28,-21.9
FB-9398,TRX-16171,4,4,Lento,Maybe,No,30,31.8
FB-9399,TRX-10963,5,5,---,N/A,0,42,40.4
FB-9400,TRX-15458,5,2,Dañado,SI,No,195,22.8
FB-9401,TRX-12501,5,4,No volvería,N/A,0,58,55.8
FB-9402,TRX-13450,1,2,Excelente,Maybe,No,54,-53.4
FB-9403,TRX-13687,4,4,N/A,NO,0,31,-78.1
FB-9404,TRX-10861,4,1,Excelente,NO,1,38,-90.3
FB-9405,TRX-12933,5,3,N/A,SI,Sí,60,95.2
FB-9406,TRX-17987,5,4,Dañado,N/A,0,61,43.6
FB-9407,TRX-16419,5,3,Precio justo,NO,Sí,59,-52.3
FB-9408,TRX-14900,4,3,Dañado,N/A,No,44,-4.6
FB-9409,TRX-12608,5,3,N/A,Maybe,No,50,-87.6
FB-9410,TRX-10353,3,5,---,Maybe,0,48,32.9
FB-9411,TRX-18977,5,1,---,SI,1,33,93.4
FB-9412,TRX-16427,3,3,Precio justo,NO,Sí,24,41.2
FB-9413,TRX-15528,2,1,Dañado,NO,0,33,24.5
FB-9414,TRX-16921,2,4,Lento,Maybe,0,63,84.4
FB-9415,TRX-17756,4,1,No volvería,Maybe,Sí,21,2.5
FB-9416,TRX-15706,1,2,N/A,SI,0,20,49.0
FB-9417,TRX-16412,2,3,N/A,SI,Sí,36,86.6
FB-9418,TRX-16407,4,4,---,SI,No,46,29.4
FB-9419,TRX-11176,4,3,Precio justo,SI,Sí,82,5.2
FB-9420,TRX-18648,3,3,Precio justo,N/A,1,38,16.1
FB-9421,TRX-14637,3,4,---,Maybe,Sí,72,53.9
FB-9422,TRX-14626,5,4,Excelente,N/A,No,28,-89.6
FB-9423,TRX-13196,2,5,Precio justo,SI,Sí,53,-34.4
FB-9424,TRX-18978,3,5,Lento,Maybe,Sí,56,-89.7
FB-9425,TRX-16451,1,5,No volvería,NO,0,67,57.2
FB-9426,TRX-11594,4,1,Precio justo,SI,Sí,45,83.0
FB-9427,TRX-12144,5,2,Excelente,Maybe,No,37,-20.1
FB-9428,TRX-15298,3,2,N/A,NO,No,56,-49.6
FB-9429,TRX-19509,3,1,No volvería,N/A,1,42,-91.9
FB-9430,TRX-10886,3,5,Precio justo,SI,Sí,63,-98.6
FB-9431,TRX-14981,2,2,Lento,N/A,0,49,9.1
FB-9432,TRX-17496,3,5,Lento,N/A,No,80,-33.3
FB-9433,TRX-12681,4,4,No volvería,SI,1,61,92.8
FB-9434,TRX-19456,3,1,Excelente,Maybe,Sí,58,63.5
FB-9435,TRX-12253,1,5,Lento,Maybe,0,26,-9.8
FB-9436,TRX-17239,3,1,Dañado,N/A,Sí,55,-60.3
FB-9437,TRX-17904,5,3,Dañado,Maybe,Sí,54,-23.4
FB-9438,TRX-14769,5,1,Precio justo,SI,1,59,-85.7
FB-9439,TRX-12372,1,1,Lento,N/A,No,40,24.5
FB-9440,TRX-13436,5,5,Dañado,NO,Sí,33,73.0
FB-9441,TRX-13573,2,1,Precio justo,N/A,Sí,56,-12.9
FB-9442,TRX-13205,4,3,Precio justo,SI,1,71,-3.9
FB-9443,TRX-10149,4,4,Precio justo,SI,0,44,87.6
FB-9444,TRX-15934,2,2,Excelente,Maybe,Sí,63,-38.1
FB-9445,TRX-19431,5,4,Precio justo,NO,No,63,-79.7
FB-9446,TRX-11670,1,1,Excelente,SI,Sí,37,-86.2
FB-9447,TRX-12418,1,3,Dañado,N/A,Sí,62,53.6
FB-9448,TRX-16169,4,3,Precio justo,Maybe,No,49,-56.3
FB-9449,TRX-16997,1,4,Dañado,N/A,1,49,99.8
FB-9450,TRX-12756,2,5,Lento,SI,Sí,66,92.6
FB-9451,TRX-10922,4,2,Excelente,Maybe,No,64,70.8
FB-9452,TRX-11573,3,1,---,SI,No,57,0.8
FB-9453,TRX-15825,2,1,---,Maybe,0,22,1.6
FB-9454,TRX-17763,2,4,Dañado,SI,1,79,86.4
FB-9455,TRX-12943,1,3,Precio justo,Maybe,No,26,-40.5
FB-9456,TRX-10859,1,3,Dañado,SI,Sí,35,-2.7
FB-9457,TRX-11922,1,5,Precio justo,N/A,1,63,-19.5
FB-9458,TRX-18444,3,2,No volvería,N/A,No,18,-28.3
FB-9459,TRX-15545,2,1,N/A,N/A,1,23,78.4
FB-9460,TRX-19722,5,4,Excelente,NO,Sí,38,44.9
FB-9461,TRX-17107,4,5,Lento,NO,0,52,88.9
FB-9462,TRX-12434,1,2,Dañado,Maybe,Sí,75,-85.6
FB-9463,TRX-16619,1,1,---,NO,1,66,65.5
FB-9464,TRX-14014,2,2,N/A,NO,Sí,31,-34.4
FB-9465,TRX-10556,3,1,Dañado,SI,No,23,18.2
FB-9466,TRX-11946,1,2,No volvería,NO,1,37,40.7
FB-9467,TRX-13946,3,2,Precio justo,NO,Sí,40,-71.7
FB-9468,TRX-16498,3,4,Lento,NO,Sí,31,49.7
FB-9469,TRX-18005,5,5,Precio justo,NO,Sí,68,-31.9
FB-9470,TRX-14959,3,3,Precio justo,Maybe,0,19,-44.3
FB-9471,TRX-19767,5,2,Dañado,NO,0,66,-5.7
FB-9472,TRX-12826,4,4,Dañado,Maybe,0,24,56.6
FB-9473,TRX-16150,3,3,Dañado,N/A,0,67,-18.2
FB-9474,TRX-11468,4,5,N/A,NO,Sí,31,9.0
FB-9475,TRX-17596,3,5,Excelente,N/A,0,37,-52.3
FB-9476,TRX-16260,5,2,Excelente,SI,Sí,30,-36.4
FB-9477,TRX-14509,5,1,Dañado,NO,No,74,88.3
FB-9478,TRX-17292,4,5,Precio justo,SI,No,66,83.8
FB-9479,TRX-16018,2,4,Lento,N/A,No,84,77.5
FB-9480,TRX-10190,2,2,Lento,N/A,1,22,-22.3
FB-9481,TRX-11966,2,5,Precio justo,NO,No,70,-94.1
FB-9482,TRX-11910,3,2,N/A,NO,1,69,83.8
FB-9483,TRX-11353,2,1,---,SI,0,63,-19.8
FB-9484,TRX-11999,4,5,No volvería,Maybe,No,76,60.7
FB-9485,TRX-18015,2,2,Precio justo,N/A,No,26,3.1
FB-9486,TRX-18351,4,4,Lento,N/A,No,70,78.7
FB-9487,TRX-13685,4,5,No volvería,SI,0,32,-76.6
FB-9488,TRX-10377,3,1,N/A,Maybe,No,21,66.0
FB-9489,TRX-19614,5,3,N/A,SI,No,51,73.5
FB-9490,TRX-19387,3,3,No volvería,N/A,Sí,79,-42.0
FB-9491,TRX-19381,3,2,Lento,N/A,Sí,69,25.0
FB-9492,TRX-17856,1,5,No volvería,NO,1,53,-89.0
FB-9493,TRX-14484,2,5,N/A,Maybe,Sí,75,-37.3
FB-9494,TRX-11549,2,1,Excelente,Maybe,0,63,-25.5
FB-9495,TRX-19713,4,3,Dañado,NO,0,54,-81.0
FB-9496,TRX-12967,5,4,N/A,Maybe,No,83,-13.3
FB-9497,TRX-16290,2,3,N/A,SI,Sí,58,29.6
FB-9498,TRX-17932,2,5,No volvería,Maybe,1,45,29.8
FB-9499,TRX-17105,5,4,No volvería,N/A,1,71,-6.0
FB-9500,TRX-14888,99,4,Excelente,SI,1,47,-75.3
FB-9501,TRX-19362,2,1,Excelente,SI,No,48,-84.2
FB-9502,TRX-12051,1,2,Precio justo,N/A,0,25,64.5
FB-9503,TRX-11629,2,2,---,NO,No,65,11.9
FB-9504,TRX-15328,1,1,Lento,N/A,0,75,50.0
FB-9505,TRX-11040,3,5,Precio justo,NO,No,21,-93.4
FB-9506,TRX-18806,3,5,N/A,NO,0,35,-11.7
FB-9507,TRX-13029,1,2,Lento,SI,1,39,80.8
FB-9508,TRX-16640,4,3,---,Maybe,0,44,41.6
FB-9509,TRX-10323,1,1,Excelente,SI,Sí,49,53.3
FB-9510,TRX-16451,4,3,Dañado,N/A,Sí,57,-5.8
FB-9511,TRX-19110,5,1,Lento,Maybe,1,78,49.0
FB-9512,TRX-18788,5,1,Lento,SI,1,53,34.4
FB-9513,TRX-18684,1,2,Excelente,NO,No,27,-73.3
FB-9514,TRX-18004,4,2,No volvería,NO,Sí,20,-81.8
FB-9515,TRX-11047,3,3,Precio justo,SI,1,80,-64.7
